run_name,model_name,batch_size,seq_length,hidden_dim,num_layers,dropout,learning_rate,val_loss,val_ppl,test_loss,test_ppl,total_time_seconds
lstm_B32_S100_H128_LR0p0005_L1_D0p2,lstm,32,100,128,1,0.2,0.0005,4.662640480151392,105.91538071373752,4.753797220110022,116.02401785053434,881.0431659221649
lstm_B32_S100_H128_LR0p0005_L1_D0p3,lstm,32,100,128,1,0.3,0.0005,4.667884740586362,106.47228756019025,4.758820865264651,116.60834785002037,900.2869718074799
lstm_B32_S100_H128_LR0p0005_L2_D0p2,lstm,32,100,128,2,0.2,0.0005,4.578909314553597,97.40809465670159,4.67552394812557,107.28876611597342,1047.3551807403564
lstm_B32_S100_H128_LR0p0005_L2_D0p3,lstm,32,100,128,2,0.3,0.0005,4.634420039738811,102.9681832205711,4.726315408988077,112.87888265647439,1058.9152097702026
lstm_B32_S100_H128_LR0p0005_L3_D0p2,lstm,32,100,128,3,0.2,0.0005,4.562757403703656,95.84740577932789,4.655904685039708,105.20435376432665,1207.898805141449
lstm_B32_S100_H128_LR0p0005_L3_D0p3,lstm,32,100,128,3,0.3,0.0005,4.670582480505824,106.75990989134192,4.76051546878439,116.80612029232806,1201.8090612888336
lstm_B32_S100_H128_LR0p001_L1_D0p2,lstm,32,100,128,1,0.2,0.001,4.656986785466452,105.31825705671646,4.754229400233381,116.07417196190595,905.9210155010223
lstm_B32_S100_H128_LR0p001_L1_D0p3,lstm,32,100,128,1,0.3,0.001,4.647325033519057,104.30559808896368,4.743310903277026,114.81371016476453,905.7377336025238
lstm_B32_S100_H128_LR0p001_L2_D0p2,lstm,32,100,128,2,0.2,0.001,4.545903921592001,94.2455793322967,4.644893087935065,104.05224075080594,1043.8852190971375
lstm_B32_S100_H128_LR0p001_L2_D0p3,lstm,32,100,128,2,0.3,0.001,4.595260017152294,99.01387750731443,4.689950781307974,108.84782232812817,1041.8652362823486
lstm_B32_S100_H128_LR0p001_L3_D0p2,lstm,32,100,128,3,0.2,0.001,4.524276181273281,92.22914448085393,4.620255650602635,101.51998245699049,1206.3170566558838
lstm_B32_S100_H128_LR0p001_L3_D0p3,lstm,32,100,128,3,0.3,0.001,4.635239611170201,103.05260759305709,4.723553443052289,112.56754517738197,1202.0578846931458
lstm_B32_S100_H256_LR0p0005_L1_D0p2,lstm,32,100,256,1,0.2,0.0005,4.658587526198549,105.48697928486477,4.777887800871149,118.85304343863541,1522.490929365158
lstm_B32_S100_H256_LR0p0005_L1_D0p3,lstm,32,100,256,1,0.3,0.0005,4.590672381649456,98.560678278874,4.700594371347107,110.01254132589276,1521.7638187408447
lstm_B32_S100_H256_LR0p0005_L2_D0p2,lstm,32,100,256,2,0.2,0.0005,4.423738711131426,83.40753984814751,4.541715976213239,93.85170932257674,1963.0549075603485
lstm_B32_S100_H256_LR0p0005_L2_D0p3,lstm,32,100,256,2,0.3,0.0005,4.3887341928437085,80.53840833756678,4.496788040576038,89.72846376969535,1960.3149881362915
lstm_B32_S100_H256_LR0p0005_L3_D0p2,lstm,32,100,256,3,0.2,0.0005,4.33995342898516,76.70396707352536,4.452727677006506,85.86082548004664,2541.8761303424835
lstm_B32_S100_H256_LR0p0005_L3_D0p3,lstm,32,100,256,3,0.3,0.0005,4.362525227701331,78.45500123098248,4.465896339738577,86.99897524034267,2541.9704625606537
lstm_B32_S100_H256_LR0p001_L1_D0p2,lstm,32,100,256,1,0.2,0.001,4.709640302281158,111.01222188034751,4.834903966666031,125.82649908843399,1562.5861275196075
lstm_B32_S100_H256_LR0p001_L1_D0p3,lstm,32,100,256,1,0.3,0.001,4.623013020570168,101.80029689542425,4.738902158319773,114.3086399799558,1561.3460552692413
lstm_B32_S100_H256_LR0p001_L2_D0p2,lstm,32,100,256,2,0.2,0.001,4.418559932533633,82.97670722218007,4.536642400677345,93.3767514722513,1958.2983794212341
lstm_B32_S100_H256_LR0p001_L2_D0p3,lstm,32,100,256,2,0.3,0.001,4.370251940705213,79.06354851670056,4.477358235132757,88.00188503778979,1960.9281032085419
lstm_B32_S100_H256_LR0p001_L3_D0p2,lstm,32,100,256,3,0.2,0.001,4.321966378037849,75.33662301849553,4.436556789781198,84.48354568507325,2518.657979249954
lstm_B32_S100_H256_LR0p001_L3_D0p3,lstm,32,100,256,3,0.3,0.001,4.335734221581787,76.3810188995297,4.442405996183656,84.97915543021116,2522.278461456299
lstm_B64_S100_H128_LR0p0005_L1_D0p2,lstm,64,100,128,1,0.2,0.0005,4.682023402022766,107.9883555168381,4.7772639082510295,118.77891502844386,826.1096565723419
lstm_B64_S100_H128_LR0p0005_L1_D0p3,lstm,64,100,128,1,0.3,0.0005,4.698049397486444,109.73291825150488,4.785365678259839,119.74514327425581,823.655844449997
lstm_B64_S100_H128_LR0p0005_L2_D0p2,lstm,64,100,128,2,0.2,0.0005,4.608177270617639,100.30116104438974,4.705844362961915,110.59162500753591,980.7186269760132
lstm_B64_S100_H128_LR0p0005_L2_D0p3,lstm,64,100,128,2,0.3,0.0005,4.67108745935108,106.81383500173253,4.762209512666808,117.00416268472836,977.0132625102997
lstm_B64_S100_H128_LR0p0005_L3_D0p2,lstm,64,100,128,3,0.2,0.0005,4.593129906430023,98.80319145715306,4.688478214142987,108.68765455683086,1082.332041978836
lstm_B64_S100_H128_LR0p0005_L3_D0p3,lstm,64,100,128,3,0.3,0.0005,4.704533879250702,110.44679140613245,4.792394912333167,120.58982517087506,1078.0326056480408
