run_name,model_name,batch_size,seq_length,hidden_dim,num_layers,dropout,learning_rate,val_loss,val_ppl,test_loss,test_ppl,total_time_seconds
rnn_B32_S100_H128_LR0p0005_D0p0,rnn,32,100,128,1,0.0,0.0005,4.947711019827778,140.85218678441046,5.035009453890182,153.70104567778066,826.215338230133
rnn_B32_S100_H128_LR0p0005_D0p2,rnn,32,100,128,1,0.2,0.0005,4.938914589049013,139.6186237035769,5.016243938876922,150.8436604012761,835.9877064228058
rnn_B32_S100_H128_LR0p0005_D0p3,rnn,32,100,128,1,0.3,0.0005,4.96465190289824,143.25867366379154,5.033830337126298,153.5199210027508,836.8279061317444
rnn_B32_S100_H128_LR0p001_D0p0,rnn,32,100,128,1,0.0,0.001,4.9634379314842105,143.0848672485071,5.057297523033951,157.16520653673618,836.0720958709717
rnn_B32_S100_H128_LR0p001_D0p2,rnn,32,100,128,1,0.2,0.001,4.941296086139094,139.95152128962792,5.020756087702138,151.52582730827075,841.2329428195953
rnn_B32_S100_H128_LR0p001_D0p3,rnn,32,100,128,1,0.3,0.001,4.948337214757276,140.94041533083484,5.024360072461212,152.07290932596544,844.3470747470856
rnn_B32_S100_H256_LR0p0005_D0p0,rnn,32,100,256,1,0.0,0.0005,4.968635758178443,143.83053383504588,5.088606080644759,162.16366137105845,1239.7994799613953
rnn_B32_S100_H256_LR0p0005_D0p2,rnn,32,100,256,1,0.2,0.0005,4.838829503083371,126.32140634556605,4.933455462860315,138.8585046990272,1245.937861442566
rnn_B32_S100_H256_LR0p0005_D0p3,rnn,32,100,256,1,0.3,0.0005,4.8255772677250635,124.65840889284198,4.917763755014317,136.69658408525908,1246.203260421753
rnn_B32_S100_H256_LR0p001_D0p0,rnn,32,100,256,1,0.0,0.001,5.09833626379474,163.74924499623876,5.224955138927133,185.85283278146147,1238.5087177753448
rnn_B32_S100_H256_LR0p001_D0p2,rnn,32,100,256,1,0.2,0.001,4.873590388050568,130.7896605414705,4.972880972661336,144.44242318217624,1242.1901593208313
rnn_B32_S100_H256_LR0p001_D0p3,rnn,32,100,256,1,0.3,0.001,4.843398356950059,126.89987084501686,4.935548562331127,139.1494537481587,1241.4054479599
rnn_B32_S200_H128_LR0p0005_D0p0,rnn,32,200,128,1,0.0,0.0005,4.9357083006313855,139.17168302076814,5.031413198022701,153.14929011217612,1506.0447771549225
rnn_B32_S200_H128_LR0p0005_D0p2,rnn,32,200,128,1,0.2,0.0005,4.920840822075733,137.11785645082009,5.000329838697443,148.4621195797445,1510.057398557663
rnn_B32_S200_H128_LR0p0005_D0p3,rnn,32,200,128,1,0.3,0.0005,4.941212203109653,139.93978222440825,5.014491811717227,150.5795945330648,1510.3500366210938
rnn_B32_S200_H128_LR0p001_D0p0,rnn,32,200,128,1,0.0,0.001,4.9694818012604465,143.9522721538476,5.0706312061001215,159.2748308655802,1506.7782807350159
rnn_B32_S200_H128_LR0p001_D0p2,rnn,32,200,128,1,0.2,0.001,4.937244263305535,139.38560978088825,5.018966882335073,151.2549588766875,1508.5895142555237
rnn_B32_S200_H128_LR0p001_D0p3,rnn,32,200,128,1,0.3,0.001,4.94755582520694,140.83032897883902,5.024057259119262,152.0268665916014,1510.7007160186768
rnn_B32_S200_H256_LR0p0005_D0p0,rnn,32,200,256,1,0.0,0.0005,5.023819373780844,151.99070593020974,5.151819635343887,172.7455383908686,2274.023369073868
rnn_B32_S200_H256_LR0p0005_D0p2,rnn,32,200,256,1,0.2,0.0005,4.857808065085109,128.74169918103598,4.963435776655335,143.08455892543572,2279.5619292259216
rnn_B32_S200_H256_LR0p0005_D0p3,rnn,32,200,256,1,0.3,0.0005,4.833176144675113,125.60928100739697,4.931266643838019,138.55490095057635,2282.511196374893
rnn_B32_S200_H256_LR0p001_D0p0,rnn,32,200,256,1,0.0,0.001,5.185578446070593,178.67677478125552,5.326013753069685,205.61669940502105,2269.3508257865906
rnn_B32_S200_H256_LR0p001_D0p2,rnn,32,200,256,1,0.2,0.001,4.888265618939257,132.72318174227192,4.993664027152725,147.47579006456368,2283.747145652771
rnn_B32_S200_H256_LR0p001_D0p3,rnn,32,200,256,1,0.3,0.001,4.847184676037705,127.38126502909712,4.94839591114724,140.94868826720813,2281.20765209198
rnn_B64_S100_H128_LR0p0005_D0p0,rnn,64,100,128,1,0.0,0.0005,4.951085904434639,141.32834970693895,5.035165142849642,153.72497709653058,762.2805836200714
rnn_B64_S100_H128_LR0p0005_D0p2,rnn,64,100,128,1,0.2,0.0005,4.951902135977714,141.44375345558325,5.027896044553509,152.61158670215968,766.2723772525787
rnn_B64_S100_H128_LR0p0005_D0p3,rnn,64,100,128,1,0.3,0.0005,4.983289373971811,145.9536891768576,5.052515369952477,156.4154127033597,759.2250521183014
rnn_B64_S100_H128_LR0p001_D0p0,rnn,64,100,128,1,0.0,0.001,4.950200985100641,141.2033408373817,5.041910916405639,154.76547652298518,756.1550645828247
rnn_B64_S100_H128_LR0p001_D0p2,rnn,64,100,128,1,0.2,0.001,4.935180123434855,139.0981951204188,5.0133665433395995,150.41024737539078,759.3686304092407
rnn_B64_S100_H128_LR0p001_D0p3,rnn,64,100,128,1,0.3,0.001,4.9575074791210625,142.23882045913254,5.028690543451595,152.73288461877974,760.955260515213
rnn_B64_S100_H256_LR0p0005_D0p0,rnn,64,100,256,1,0.0,0.0005,4.924774801874998,137.65833775242788,5.035849534558166,153.8302212062387,1147.9727268218994
rnn_B64_S100_H256_LR0p0005_D0p2,rnn,64,100,256,1,0.2,0.0005,4.835699912365022,125.92669001718235,4.927776183724791,138.07212364293608,1151.7298777103424
rnn_B64_S100_H256_LR0p0005_D0p3,rnn,64,100,256,1,0.3,0.0005,4.832597075279559,125.53656557264148,4.92235577607301,137.3257411236469,1111.8435816764832
rnn_B64_S100_H256_LR0p001_D0p0,rnn,64,100,256,1,0.0,0.001,5.039611957307793,154.4100856937166,5.161623801268957,174.44749380583295,1127.4288911819458
rnn_B64_S100_H256_LR0p001_D0p2,rnn,64,100,256,1,0.2,0.001,4.859632529738007,128.97679826031182,4.960491902005831,142.66395532557704,1133.652559518814
rnn_B64_S100_H256_LR0p001_D0p3,rnn,64,100,256,1,0.3,0.001,4.836000743318668,125.96457836213752,4.9284796107774,138.16928147763613,1124.6672461032867
rnn_B64_S200_H128_LR0p0005_D0p0,rnn,64,200,128,1,0.0,0.0005,4.931788219818474,138.62718670850523,5.023427980200725,151.93122938379935,1419.7476177215576
rnn_B64_S200_H128_LR0p0005_D0p2,rnn,64,200,128,1,0.2,0.0005,4.929994887216075,138.37880483722302,5.005311012289569,149.20348005895556,1423.0633268356323
rnn_B64_S200_H128_LR0p0005_D0p3,rnn,64,200,128,1,0.3,0.0005,4.954893868287056,141.86754892795744,5.02534268734087,152.22241186914462,1418.4341912269592
rnn_B64_S200_H128_LR0p001_D0p0,rnn,64,200,128,1,0.0,0.001,4.9511918347701025,141.34332145940127,5.045372140829009,155.30208269169447,1412.9205076694489
rnn_B64_S200_H128_LR0p001_D0p2,rnn,64,200,128,1,0.2,0.001,4.926130265379144,137.8450551209944,5.008334284629485,149.65524537392628,1419.4452097415924
rnn_B64_S200_H128_LR0p001_D0p3,rnn,64,200,128,1,0.3,0.001,4.933296730938824,138.83646517099552,5.0088573000991845,149.73353785468314,1411.8449969291687
rnn_B64_S200_H256_LR0p0005_D0p0,rnn,64,200,256,1,0.0,0.0005,4.959975359806681,142.59028240157892,5.077924994378207,160.4407947377147,2208.400922060013
rnn_B64_S200_H256_LR0p0005_D0p2,rnn,64,200,256,1,0.2,0.0005,4.838234553592701,126.2462738414388,4.941962178178336,140.04477293748104,2211.812632083893
rnn_B64_S200_H256_LR0p0005_D0p3,rnn,64,200,256,1,0.3,0.0005,4.825534439298464,124.65307008365387,4.92230897298967,137.31931400594607,2211.8908307552338
rnn_B64_S200_H256_LR0p001_D0p0,rnn,64,200,256,1,0.0,0.001,5.108590403113049,165.43699097039593,5.240518562861249,188.76796508558422,2196.6978929042816
rnn_B64_S200_H256_LR0p001_D0p2,rnn,64,200,256,1,0.2,0.001,4.878672575824129,131.45605007923626,4.985096338840704,146.2176607875741,2193.197201013565
rnn_B64_S200_H256_LR0p001_D0p3,rnn,64,200,256,1,0.3,0.001,4.844898465174351,127.09037723931237,4.947054614204091,140.7597609546324,2183.4545118808746
